complex_id;stage;camera_place;lat;lon;place_type;road_type;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg
2135;1;М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление), км 904+250;48,536808;40,345529;0;1;0;4;1468-80232;1468;80232;40850
2136;1;г. Азов – с. Александровка – ст. Староминская (до границы Краснодарского края), км 22+600;46,956246;39,355747;0;2;0;2;8872;8872;8872;8872
2137;1;г. Азов – с. Александровка – ст. Староминская (до границы Краснодарского края), км 58+600;46,783558;39,028858;1;2;0;2;8872;8872;8872;8872
2138;1;г. Морозовск – г. Цимлянск – г. Волгодонск, км 93+900, дом 27Г;47,557098;42,126218;0;2;0;2;7622;7622;7622;7622
2139;1;Р-280 – «Новороссия» Ростов-на-Дону - Мариуполь – Мелитополь - Симферополь, км 7+400;47,265017;39,596089;0;1;0;4;6000-25000;6000;25000;15500
2140;1;г. Азов – с. Александровка – ст. Староминская (до границы Краснодарского края), км 14+050;47,013836;39,403606;0;2;0;2;16776;16776;16776;16776
2141;1;г. Ростов-на-Дону (от магистрали «Дон») – г. Азов (старое и новое направление), км 0+750;47,136688;39,679906;1;1;0;4;32681;32681;32681;32681
2142;1;Р-280 – «Новороссия» Ростов-на-Дону - Мариуполь – Мелитополь - Симферополь, км 13+250;47,271911;39,520061;0;1;0;4;6000-25000;6000;25000;15500
2143;1;«г. Ростов-на-Дону (от магистрали «Дон») – г. Семикаракорск – г. Волгодонск» – г. Константиновск – пос. Тацинский, км 36+500;47,808185;41,104831;0;2;0;2;2582-11589;2582;11589;7086
1094;2;г. Ростов-на-Дону, пр. 40-летия Победы, д. 2;47,23374;39,788815;1;3;1;6;0;0;0;0
1095;2;г. Ростов-на-Дону, Ворошиловский пр., д. 52А;47,22976;39,715654;1;3;1;6;0;0;0;0
1096;2;г. Ростов-на-Дону, Ворошиловский пр., д. 59;47,224343;39,717744;1;3;1;8;0;0;0;0
1097;2;г. Ростов-на-Дону, пл. Карла Маркса, д. 20;47,231626;39,761573;1;3;1;6;0;0;0;0
1098;2;г. Ростов-на-Дону, ул. Советская, д. 3;47,230486;39,761823;1;3;1;3;0;0;0;0
1099;2;г. Ростов-на-Дону, ул. Серафимовича, д. 49;47,21845;39,708599;1;3;1;6;5600;5600;5600;5600
1100;2;г. Волгодонск, ул. Железнодорожная, д. 4;47,500271;42,184152;1;3;1;2;1500;1500;1500;1500
1101;2;г. Ростов-на-Дону, Театральный пр., д. 58А;47,236623;39,737489;1;3;1;4;0;0;0;0
1102;2;г. Волгодонск, ул. Гагарина, д. 4;47,508435;42,198993;1;3;1;4;0;0;0;0
1103;2;город Таганрог, ул. Чехова, дом 6А;47,218316;38,89785;1;3;1;4;0;0;0;0
1104;2;г. Батайск, улица Максима Горького, д. 301А;47,137464;39,706447;1;3;1;2;2500;2500;2500;2500
1105;2;г.Шахты, Советская ул., 69;47,702306;40,228824;1;3;1;2;0;0;0;0
1106;2;г.Шахты, просп. Василия Алексеева, д.112В;47,707638;40,203662;1;3;1;2;0;0;0;0
1107;2;г. Волгодонск, пр. Строителей, д. 43;47,519409;42,203606;1;3;1;6;0;0;0;0
1108;2;город Таганрог, ул. Свободы/ Ленинградская ул.;47,213093;38,887353;1;3;1;2;0;0;0;0
1109;2;город Новочеркасск, улица Калинина, д. 53;47,485908;40,089225;1;3;1;2;0;0;0;0
1110;2;город Таганрог, Николаевское ш., дом 125А;47,252315;38,875361;1;3;1;2;0;0;0;0
1111;2;г. Азов, Московская ул. д.116А/1;47,104641;39,433736;1;3;1;4;0;0;0;0
1112;2;г. Азов, ул. Васильева, 92;47,104;39,408953;1;3;1;2;0;0;0;0
1113;2;г. Азов, ул. Московская, д. 60;47,109646;39,426856;1;3;1;4;0;0;0;0
1114;2;г. Таганрог, ул. Петровская, д. 120;47,221749;38,919246;1;3;1;2;0;0;0;0
1115;2;г. Азов, Московская ул. д.152;47,101246;39,43856;1;3;1;4;0;0;0;0
1116;2;г. Аксай, пр. Ленина, д. 35А;47,270467;39,861589;0;3;1;4;0;0;0;0
1117;2;г.Шахты, Парковая ул.,2Б;47,690862;40,252755;1;3;1;2;0;0;0;0
1118;2;г. Ростов-на-Дону, ул. Нансена, д. 355;47,244037;39,738553;1;3;1;2;0;0;0;0
1119;2;город Новочеркасск, Баклановский пр./ Магнитный пер.;47,422498;40,056171;0;3;1;2;0;0;0;0
1120;2;г. Волгодонск, пр. Мира, д. 49;47,530514;42,213348;1;3;1;6;0;0;0;0
1121;2;г. Азов, ул. Измайлова, д. 73;47,101654;39,415138;1;3;1;2;0;0;0;0
1122;2;г. Ростов-на-Дону, Советская ул, д. 9/2;47,230144;39,760303;1;3;1;3;0;0;0;0
1123;2;г. Ростов-на-Дону, Газетный пер., д. 90;47,228229;39,713509;1;3;1;2;0;0;0;0
1124;2;г. Ростов-на-Дону, Большая Садовая ул., д. 172;47,22658;39,738986;1;3;1;4;0;0;0;0
1125;2;г. Ростов-на-Дону, пл. Свободы, д. 3;47,229255;39,764711;1;3;1;4;0;0;0;0
1126;2;г. Ростов-на-Дону, Левобережная ул., д. 17к1;47,212062;39,743053;1;3;1;3;5600;5600;5600;5600
1127;2;г. Ростов-на-Дону, Театральный пл., д. 1;47,227837;39,746578;1;3;1;8;0;0;0;0
1128;2;г. Батайск, Коммунистическая ул., д. 91;47,145594;39,762464;0;3;1;2;0;0;0;0
1129;2;г. Азов, ул. Инзенская / ул. Васильева / Площадь Победы;47,101942;39,410154;0;3;1;4;0;0;0;0
1130;2;город Новочеркасск, Московская улица, дом 14;47,413427;40,098327;0;3;1;4;0;0;0;0
1131;2;г. Азов, ул. Московская / пр-д Объездной / пер. Трудовой;47,090185;39,45407;0;3;1;2;0;0;0;0
1132;2;г. Азов, Московская ул/пер. Маяковского;47,099209;39,441422;0;3;1;2;0;0;0;0
1133;2;г. Волгодонск, ул. Академика Королёва, д. 8;47,530371;42,210291;0;3;1;6;0;0;0;0
1134;2;г. Азов, ул. Московская / пл. Петровская;47,112549;39,4227;0;3;1;2;0;0;0;0
1135;2;г. Азов, Петровский бульв. / Привокзальная ул. / Пл. Победы;47,101464;39,412558;0;3;1;2;0;0;0;0
1136;2;город Новочеркасск, Московская улица/ улица Дубровского;47,41605;40,096347;0;3;1;4;0;0;0;0
1137;2;г. Волгодонск, ул. Ленинградская / ул. Карла Маркса;47,533479;42,201632;0;3;1;4;0;0;0;0
1138;2;г. Ростов-на-Дону, пр. Стачки/ ул. Тружеников;47,21224;39,646223;0;3;1;3;0;0;0;0
1139;2;г. Ростов-на-Дону, ул. Нансена, д. 255/1;47,244335;39,725161;0;3;1;2;0;0;0;0
1140;2;г. Ростов-на-Дону, ул. Доватора, д. 92А;47,238642;39,635719;0;3;1;3;0;0;0;0
1141;2;г. Батайск, ул. Максима Горького/ул. Куйбышева;47,140888;39,739707;0;3;1;2;2500;2500;2500;2500
1142;2;г. Батайск, ул. Северный Массив/ул. Энгельса;47,155669;39,74628;0;3;1;2;2500;2500;2500;2500
1143;2;г. Батайск, ул. Максима Горького/ул. Энгельса;47,14243;39,749689;0;3;1;2;2500;2500;2500;2500
1144;2;г. Ростов-на-Дону, Таганрогская ул., д. 122;47,257883;39,645065;0;3;1;4;17600;17600;17600;17600
1145;2;г. Батайск, Промышленная ул./Ольгинский тупик;47,10165;39,760675;0;3;1;2;2500;2500;2500;2500
1146;2;г. Батайск, улица Максима Горького, д. 285К;47,138312;39,717877;0;3;1;3;2500;2500;2500;2500
1147;2;г. Батайск, ул. Кулагина/ул. Клары Цеткин;47,117926;39,743594;0;3;1;2;2500;2500;2500;2500
1148;2;г. Батайск, ул. Энгельса/ул. Кулагина;47,117769;39,751371;0;3;1;2;2500;2500;2500;2500
1149;2;г. Батайск, ул. Северный Массив/ул. Куйбышева;47,153704;39,737241;0;3;1;2;2500;2500;2500;2500
1150;2;г. Батайск, Ленинградская ул./ул. Энгельса;47,15136;39,747473;0;3;1;2;2500;2500;2500;2500
1151;2;г. Батайск, Ленинградская ул./ул. Куйбышева;47,150972;39,73759;0;3;1;2;2500;2500;2500;2500
1152;2;г. Ростов-на-Дону, Советская ул./Театральный пр.;47,227447;39,743007;0;3;1;5;0;0;0;0
1153;2;" ст. Тацинская ул. Луговая вблизи дома № 4 / ""участок автомобильной дороги ст. Тацинская, пер. Транспортный, ул. Луговая, д.4-д.8, пер. Соревнования"" ";48,194657;41,294308;0;3;1;2;1000;1000;1000;1000
1154;2;п. Каяльский  ул. Ленина 23А;46,886304;39,676083;1;3;1;2;100;100;100;100
1155;2;город Новочеркасск, Пушкинская улица/ Троицкая улица;47,420018;40,08866;0;3;1;2;0;0;0;0
1156;2;г. Волгодонск, ул. Морская, д. 31;47,51622;42,160127;1;3;1;4;0;0;0;0
1157;2;г. Волгодонск, пр. Курчатова, д. 26;47,521603;42,204529;1;3;1;6;0;0;0;0
1158;2;город Таганрог, ул. Ломакина, дом 2А;47,20044;38,915652;1;3;1;2;0;0;0;0
1159;2;город Таганрог, Транспортная ул., д. 129-5;47,238101;38,884976;1;3;1;4;0;0;0;0
1160;2;г. Азов, ул. Севастопольская / ул. Васильева;47,107781;39,406686;0;3;1;2;0;0;0;0
1161;2;г. Волгодонск, ул. Черникова / ул. Энтузиастов;47,523317;42,197815;0;3;1;4;0;0;0;0
1162;2;город Таганрог, ул. Дзержинского/ Парковый пер.;47,236639;38,917217;0;3;1;2;0;0;0;0
1163;2;г. Волгодонск, ул. Энтузиастов, д. 22А;47,518529;42,196146;1;3;1;4;0;0;0;0
1164;2;г. Волгодонск, пр. Мира, д. 60/11;47,528004;42,222329;1;3;1;6;7500;7500;7500;7500
1165;2;г. Волгодонск, пр. Мира, д. 93;47,539162;42,202641;1;3;1;6;2500;2500;2500;2500
1166;2;г. Волгодонск, пр. Строителей, д. 4/6;47,514189;42,194316;1;3;1;6;19000;19000;19000;19000
1167;2;г. Батайск, Ленинградская ул., д. 74;47,151807;39,755987;1;3;1;2;2500;2500;2500;2500
1168;2;г. Батайск, ул. Ключевая, д. 1;47,108324;39,746349;1;3;1;2;2500;2500;2500;2500
1169;2;г.Шахты, Садовая ул., 33А;47,706585;40,197043;1;3;1;2;0;0;0;0
1170;2;г.Шахты, просп. Ленинского Комсомола, 11Г;47,737899;40,313922;1;3;1;2;0;0;0;0
1171;2;г. Ростов-на-Дону, Красноармейская ул, д. 72;47,225414;39,700778;1;3;1;5;0;0;0;0
1172;2;г. Ростов-на-Дону, Левобережная ул., д. 47к2;47,20995;39,753869;1;3;1;2;5600;5600;5600;5600
1173;2;г. Ростов-на-Дону, ул. Московская, д.79;47,219447;39,718304;1;3;1;3;0;0;0;0
1174;2;г.Шахты, Советская ул., 95А;47,704072;40,225411;1;3;1;4;0;0;0;0
1175;2;город Новочеркасск, Комитетская ул./ просп. Ермака;47,416115;40,105822;0;3;1;2;0;0;0;0
