,Участок,Пара,День недели,Час,Среднее время проезда (в секундах),Средняя скорость на въезде,Средняя скорость на участке,Средняя скорость на выезде,Геометрия
10,AZ350025 - AZ350037,1,Воскресенье,10,297.4692005242464,84.41639588482258,85.57595003260542,86.73537345576256,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
11,AZ350025 - AZ350037,1,Воскресенье,11,307.37077131258457,84.42878214174098,85.29423531208374,86.15999982160226,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
12,AZ350025 - AZ350037,1,Воскресенье,12,298.83105022831046,83.23194805127845,84.66862999903013,86.10526650137008,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
13,AZ350025 - AZ350037,1,Воскресенье,13,304.1344148319814,82.65902657359666,83.59828489708045,84.53733493720947,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
14,AZ350025 - AZ350037,1,Воскресенье,14,304.01987447698747,82.64548118742938,83.62966519120349,84.61384942042778,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
15,AZ350025 - AZ350037,1,Воскресенье,15,305.036303630363,83.6986029596612,83.78900977408532,83.87916385956986,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
16,AZ350025 - AZ350037,1,Воскресенье,16,310.9337175792507,82.18453899790299,83.43417861344835,84.68353024683356,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
17,AZ350025 - AZ350037,1,Воскресенье,17,317.413597733711,82.67941943376665,83.25868265081735,83.83767695872709,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
18,AZ350025 - AZ350037,1,Воскресенье,18,321.71183533447686,81.07684390949753,82.42207547771788,83.76704969455201,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
19,AZ350025 - AZ350037,1,Воскресенье,19,317.7832618025751,82.1231543987094,83.13233892088796,84.1415450214828,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
20,AZ350025 - AZ350037,1,Воскресенье,20,312.90463215258853,81.67569461375557,83.66948245721552,85.66348769684254,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
21,AZ350025 - AZ350037,1,Воскресенье,21,313.748502994012,81.69236509814233,83.12547913282931,84.55808371127009,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
22,AZ350025 - AZ350037,1,Воскресенье,22,311.9579439252336,80.92037393445166,83.78070084402495,86.64065425195426,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
23,AZ350025 - AZ350037,1,Воскресенье,23,304.70930232558135,79.78965092814246,83.30226727419121,86.81523263177206,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
24,AZ350025 - AZ350037,1,Вторник,0,333.9788732394366,79.2400705579301,80.63063386460425,82.02049259400704,"[[40.32783416931156, 58.631253595012836], [40.32879976455692, 58.62906586964605], [40.330516378326436, 58.625120902217674], [40.33254412834166, 58.62057664101304], [40.334582607192985, 58.61603178664221], [40.33630994979853, 58.61216371553341], [40.338804599840515, 58.60658652001726], [40.34166919906836, 58.60012468096114], [40.34407245834572, 58.594737032594715], [40.3461216660331, 58.590127187904955], [40.34849273880222, 58.584760403944934], [40.35046684463718, 58.58008200082576], [40.35304176529143, 58.5739851277472], [40.35435068329071, 58.57048791078226], [40.356281873781434, 58.56517416020292]]"
