complex_id;camera_place;lat;lon;Тип участка;place_type;Тип дороги;road_type;Населенный пункт;is_settlement;lanes;intensity;intensity_min;intensity_max;intensity_avg;aav_speed;aav_belts;aav_all
900;ул.Текучева, д.246, г. Ростов-На-Дону, Ростовская обл.;47.234683;39.705992;линейный;1;муниципальная;3;да;1;4;0;0;0;0;8,2738;0;8,2738
894;ул.Мадояна, д.57, г. Ростов-На-Дону, Ростовская обл.;47.220247;39.65711;линейный;1;муниципальная;3;да;1;4;17600;17600;17600;17600;8,25125;0;8,25125
776;ул.Нансена, д.156, г. Ростов-На-Дону, Ростовская обл.;47.243713;39.72863;линейный;1;муниципальная;3;да;1;2;13200;13200;13200;13200;7,8638;0;7,8638
892;ул.Малиновского, д.58В, г. Ростов-На-Дону, Ростовская обл.;47.223919;39.613979;линейный;1;муниципальная;3;да;1;6;33600;33600;33600;33600;7,7162;0;7,7162
710;ул.Портовая, д.240, г. Ростов-На-Дону, Ростовская обл.;47.201553;39.668167;перекресток;0;муниципальная;3;да;1;6;0;0;0;0;6,9536;0;6,9536
1041;"4 км 100 м а/д ""с. Самбек - пос. Матвеев Курган - с. Куйбышево - г. Снежное"", Неклиновский р-н, Ростовская обл.";47.353883;39.007392;линейный;1;региональная;2;нет;0;2;2071;2071;2071;2071;6,696666667;0;6,696666667
715;Стачки просп., д.74/29, г. Ростов-На-Дону, Ростовская обл.;47.211611;39.660045;линейный;1;муниципальная;3;да;1;6;0;0;0;0;6,6502;0;6,6502
1100;"143 км 650 м а/д ""г. Элиста - с. Ремонтное - г. Зимовники"", Зимовниковский р-н, Ростовская обл.";47.005308;42.808093;линейный;1;региональная;2;нет;0;2;6522;6522;6522;6522;6,232;0;6,232
1071;"14 км 670 м а/д ""с. Самбек - пос. Матвеев Курган - с. Куйбышево - г. Снежное"", Неклиновский р-н, Ростовская обл.";47.429275;38.933715;линейный;1;региональная;2;нет;0;2;2071;2071;2071;2071;6,0475;0;6,0475
901;Стачки просп., д.15, (северная сторона), г. Ростов-На-Дону, Ростовская обл.;47.211597;39.684775;линейный;1;муниципальная;3;да;1;4;0;0;0;0;6,0188;0;11,8736
664;"12 км 151 м а/д ""Магистраль ""Дон"" - пос. Чертково, Чертковский р-н, Ростовская обл.";49.393722;40.426142;линейный;1;региональная;2;нет;0;2;1912-3945;1912;3945;2929;5,99625;0;5,99625
1056;"5 км 500 м а/д ""Магистраль М-4 ""Дон"" - х. Камышеваха - г. Ростов-на-Дону"", Аксайский р-н, Ростовская обл.";47.306725;39.803382;линейный;1;муниципальная;3;да;1;2;0;0;0;0;5,9368;8,0114;24,0178
788;ул.Вавилова, д.47, г. Ростов-На-Дону, Ростовская обл.;47.265166;39.68239;линейный;1;муниципальная;3;да;1;5;0;0;0;0;5,603333333;0;5,603333333
912;"808 км. 330 м. а/д М-4 ""Дон"", Чертковский р-н, Ростовская обл.";49.3292;40.62302;линейный;1;федеральная;1;нет;0;4;1468-80232;1468;80232;40850;5,42225;0;5,42225
746;Михаила Нагибина просп., д.7 А, (западная сторона), г. Ростов-На-Дону, Ростовская обл.;47.240447;39.71316;линейный;1;муниципальная;3;да;1;6;45000;45000;45000;45000;5,371;0;33,4724
666;Стачки просп., д.23/48, г. Ростов-На-Дону, Ростовская обл.;47.210914;39.674132;линейный;1;муниципальная;3;да;1;6;0;0;0;0;5,3382;0;5,3382
769;Буденновский просп., д.99, г. Ростов-На-Дону, Ростовская обл.;47.234074;39.701141;линейный;1;муниципальная;3;да;1;6;0;0;0;0;5,1414;0;47,6502
1031;"18 км 500 м, а/д ""г. Ростов-на-Дону(от магистрали ""Дон"") - г. Азов"", Азовский р-н, Ростовская обл.";47.084318;39.481891;линейный;1;региональная;2;нет;0;2;32681;32681;32681;32681;4,6904;1,7712;6,4616
907;ул.Большая Садовая, д.71/16, (южная сторона), г. Ростов-На-Дону, Ростовская обл.;47.222411;39.718825;перекресток;0;муниципальная;3;да;1;8;22400;22400;22400;22400;4,619333333;0;4,619333333
734;ул.Шеболдаева, д.6/1, г. Ростов-На-Дону, Ростовская обл.;47.248387;39.697278;линейный;1;муниципальная;3;да;1;6;0;0;0;0;4,6002;0;15,744
703;ул.Оганова, д.19, г. Ростов-На-Дону, Ростовская обл.;47.269047;39.665167;линейный;1;муниципальная;3;да;1;2;8800;8800;8800;8800;4,551;0;4,551
899;Ворошиловский просп., д.78, г. Ростов-На-Дону, Ростовская обл.;47.234572;39.71365;линейный;1;муниципальная;3;да;1;6;0;0;0;0;4,4444;0;10,9388
1043;"8 км 750 м а/д ""г. Ростов-на-Дону (от магистрали ""Дон"") - г. Азов"", Азовский р-н, Ростовская обл.";47.091236;39.610695;линейный;1;муниципальная;3;да;1;2;32681;32681;32681;32681;4,387;1,066;5,453
981;Ленина просп., д.42, г. Аксай, Аксайский р-н, Ростовская обл.;47.283093;39.857151;перекресток;0;муниципальная;3;да;1;2;3650;3650;3650;3650;4,2968;0;4,2968
1067;"7 км 155 м а/д ""Северный обход г. Ростова-на-Дону"", Мясниковский р-н, Ростовская обл.";47.36832;39.69425;линейный;1;региональная;2;нет;0;2;10217;10217;10217;10217;3,936;0;3,936
657;"1057 км а/д М-4 ""Дон"", Аксайский р-н, Ростовская обл.";47.281704;39.850453;линейный;1;федеральная;1;да;1;4;0;0;0;0;3,8458;0;3,8458
825;ул.Шеболдаева, д.47, г. Ростов-На-Дону, Ростовская обл.;47.253936;39.693797;линейный;1;муниципальная;3;да;1;3;0;0;0;0;3,5014;0;27,4782
994;"57 км 950 м а/д ""г. Элиста - с. Ремонтное - пос. Зимовники"" (от границы Калмыкии), Ремонтненский р-н, Ростовская обл.";46.531389;43.658608;линейный;1;региональная;2;нет;0;2;6522;6522;6522;6522;3,485;0;3,485
1033;"82 км 200 м а/д ""с. Куйбышево - сл. Алексеево-Тузловка - сл. Родионово-Несветайская"", Родионово-Несветайский р-н, Ростовская обл.";47.624444;39.702567;линейный;1;муниципальная;3;да;1;2;4342;4342;4342;4342;3,1324;1,3284;4,4608
